"id","name","dryliquid","nitrogen","phosphorous","potassium","fertigation","sortnum"
1,Urea (46-0-0),dry,46.0,0.0,0.0,true,10.0
2,"10-16-18",dry,10.0,16.0,18.0,false,200.0
3,"18-18-18",dry,18.0,18.0,18.0,false,200.0
4,"18-9-9",dry,18.0,9.0,9.0,false,200.0
5,"30-10-0-7S",dry,30.0,10.0,0.0,false,200.0
6,Ammonium nitrate (34-0-0),dry,34.0,0.0,0.0,true,100.0
7,Ammonium sulphate (21-0-0-24S),dry,21.0,0.0,0.0,true,100.0
8,Blood meal (12-1-1),dry,12.0,1.0,1.0,false,300.0
9,Bone meal (3-20-0),dry,3.0,20.0,0.0,false,300.0
10,"Diammonium phosphate (DAP, 18-46-0)",dry,18.0,46.0,0.0,false,100.0
11,Feather meal (12-0-0),dry,12.0,0.0,0.0,false,300.0
12,Fish meal (10-6-2),dry,10.0,6.0,2.0,false,300.0
13,Greensand (0-1-6),dry,0.0,1.0,6.0,false,300.0
14,"Monoammonium phosphate (MAP, 11-52-0)",dry,11.0,52.0,0.0,false,100.0
15,Muriate of potash (0-0-62),dry,0.0,0.0,62.0,false,100.0
16,Sulphate of potash (0-0-50-17S),dry,0.0,0.0,50.0,false,100.0
17,Anhydrous ammonia (82-0-0),dry,82.0,0.0,0.0,false,100.0
18,Ammonium polyphosphate (10-34-0),liquid,10.0,34.0,0.0,true,100.0
19,Urea ammonium nitrate (UAN 32-0-0),liquid,32.0,0.0,0.0,true,100.0
20,Urea ammonium nitrate (UAN 30-0-0),liquid,30.0,0.0,0.0,true,100.0
21,Urea ammonium nitrate (UAN 28-0-0),liquid,28.0,0.0,0.0,true,100.0
22,"3-18-18",liquid,3.0,18.0,18.0,true,200.0
23,"12-0-0-26S",liquid,12.0,0.0,0.0,true,200.0
24,"20.5-5-0",liquid,20.5,5.0,0.0,true,200.0
25,"0-0-15-9.7S",liquid,0.0,0.0,15.0,true,200.0
26,Phosphoric acid (0-54-0),liquid,0.0,54.0,0.0,true,100.0
27,Liquid urea (23-0-0),liquid,23.0,0.0,0.0,true,100.0
28,Ammonium phosphate-sulfate (16-20-0),dry,16.0,20.0,0.0,false,100.0
29,Calcium nitrate (15.5-0-0-18Ca),dry,15.5,0.0,0.0,true,100.0
30,Sulphur coated urea (40-0-0),dry,40.0,0.0,0.0,false,100.0
31,"8-18-22",dry,8.0,18.0,22.0,false,100.0
32,"8-24-24",dry,8.0,24.0,24.0,false,100.0
33,"15-8-11",dry,15.0,8.0,11.0,false,100.0
34,"20-10-6",dry,20.0,10.0,6.0,false,100.0
35,"15-15-17",dry,15.0,15.0,17.0,false,100.0
36,"6-20-14",dry,6.0,20.0,14.0,false,100.0
37,"8-10-20",dry,8.0,10.0,20.0,false,100.0
38,"3-10-10",liquid,3.0,10.0,10.0,true,200.0
39,"12-5-8",liquid,12.0,5.0,8.0,true,200.0
41,"16-16-16",dry,16.0,16.0,16.0,false,100.0
