Id,Name,ConvFactor,StaticDataVersionId
1,kg/US Gallon,2.65,1
2,kg/L,10.02,1
3,lb/imp. gallon,1,1
4,lb/US gallon,1.2,1
1,kg/US Gallon,2.65,2
2,kg/L,10.02,2
3,lb/imp. gallon,1,2
4,lb/US gallon,1.2,2
1,kg/US Gallon,2.65,3
2,kg/L,10.02,3
3,lb/imp. gallon,1,3
4,lb/US gallon,1.2,3
1,kg/US Gallon,2.65,4
2,kg/L,10.02,4
3,lb/imp. gallon,1,4
4,lb/US gallon,1.2,4
1,kg/US Gallon,2.65,5
2,kg/L,10.02,5
3,lb/imp. gallon,1,5
4,lb/US gallon,1.2,5
1,kg/US Gallon,2.65,6
2,kg/L,10.02,6
3,lb/imp. gallon,1,6
4,lb/US gallon,1.2,6
4,lb/US gallon,1.2,7
3,lb/imp. gallon,1,7
1,kg/US Gallon,2.65,7
2,kg/L,10.02,7
2,kg/L,10.02,8
1,kg/US Gallon,2.65,8
4,lb/US gallon,1.2,8
3,lb/imp. gallon,1,8
3,lb/imp. gallon,1,9
4,lb/US gallon,1.2,9
2,kg/L,10.02,9
1,kg/US Gallon,2.65,9
1,kg/US Gallon,2.65,10
2,kg/L,10.02,10
3,lb/imp. gallon,1,10
4,lb/US gallon,1.2,10
1,kg/US Gallon,2.65,12
2,kg/L,10.02,12
3,lb/imp. gallon,1,12
4,lb/US gallon,1.2,12
1,kg/US Gallon,2.65,13
2,kg/L,10.02,13
3,lb/imp. gallon,1,13
4,lb/US gallon,1.2,13
1,kg/US Gallon,2.65,14
2,kg/L,10.02,14
3,lb/imp. gallon,1,14
4,lb/US gallon,1.2,14
