Id,FertilizerId,DensityUnitId,Value
1,18,1,5.284351111
2,18,2,1.39597788
3,18,3,13.99107242
4,18,4,11.65
5,19,1,5.016731612
6,19,2,1.325280288
7,19,3,13.28251167
8,19,4,11.06
9,21,1,4.839830588
10,21,2,1.278547981
11,21,3,12.81414101
12,21,4,10.67
13,22,1,5.384
14,22,2,1.422302331
15,22,3,14.25490705
16,22,4,11.8696882
17,23,1,5.007659765
18,23,2,1.322883759
19,23,3,13.25849267
20,23,4,11.04
21,24,1,4.456
22,24,2,1.177150667
23,24,3,11.79789484
24,24,4,9.823798403
25,25,1,4.836
26,25,2,1.277536047
27,25,3,12.80399898
28,25,4,10.661555
29,26,1,5.964739666
30,26,2,1.579
31,26,3,15.8
32,26,4,13.15
33,27,1,4.315
34,27,2,1.14
35,27,3,11.42
36,27,4,9.51
37,20,1,4.93
38,20,2,1.3
39,20,3,13.04
40,20,4,10.86
