"id","seasonapplicationid","drymatter","value"
1,1,1,0.95
2,1,2,0.95
3,1,3,0.95
4,1,4,0.95
5,1,5,0.95
6,1,6,1
7,2,1,0.95
8,2,2,0.7
9,2,3,0.6
10,2,4,0.5
11,2,5,0.7
12,2,6,1
13,3,1,0.95
14,3,2,0.6
15,3,3,0.45
16,3,4,0.3
17,3,5,0.5
18,3,6,1
19,4,1,0.95
20,4,2,0.55
21,4,3,0.4
22,4,4,0.28
23,4,5,0.4
24,4,6,1
25,7,1,0.95
26,7,2,0.55
27,7,3,0.4
28,7,4,0.28
29,7,5,0.4
30,7,6,1
31,8,1,0.95
32,8,2,0.95
33,8,3,0.95
34,8,4,0.95
35,8,5,
36,8,6,
37,9,1,0.95
38,9,2,0.85
39,9,3,0.7
40,9,4,0.7
41,9,5,
42,9,6,
43,10,1,0.95
44,10,2,0.75
45,10,3,0.65
46,10,4,0.6
47,10,5,
48,10,6,
49,11,1,0.95
50,11,2,0.38
51,11,3,0.3
52,11,4,0.2
53,11,5,0.34
54,11,6,1
55,12,1,0.95
56,12,2,0.95
57,12,3,0.95
58,12,4,0.95
59,12,5,
60,12,6,
61,13,1,0.95
62,13,2,0.65
63,13,3,0.56
64,13,4,0.49
65,13,5,
66,13,6,
67,14,1,0.95
68,14,2,0.6
69,14,3,0.5
70,14,4,0.4
71,14,5,
72,14,6,
73,15,1,0.95
74,15,2,0.55
75,15,3,0.4
76,15,4,0.28
77,15,5,0.4
78,15,6,1
79,16,1,0.95
80,16,2,0.55
81,16,3,0.4
82,16,4,0.28
83,16,5,0.4
84,16,6,1
85,17,1,0.95
86,17,2,0.85
87,17,3,0.7
88,17,4,0.7
89,17,5,
90,17,6,
91,18,1,0.95
92,18,2,0.75
93,18,3,0.65
94,18,4,0.6
95,18,5,
96,18,6,
