id,PlantsPerAcre,DistanceBetweenPlants
1,"2498","0.6 m x 2.7 m (2 ft x 9 ft)"
2,"2248","0.6 m x 3.0 m (2 ft x 10 ft)"
3,"1999","0.75 m x 2.7 m (2.5 ft x 9 ft)"
4,"1799","0.75 m x 3.0 m (2.5 ft x 10 ft)"
5,"1665","0.9 m x 2.7 m (3 ft x 9 ft)"
6,"1499","0.9 m x 3.0 m (3 ft x 10 ft)"
