Id,Name,SoilTestPhosphorousRegionCd,SoilTestPotassiumRegionCd,LocationId,SortNumber,StaticDataVersionId
4,Central Kootenay,1,2,1,4,14
5,Central Okanagan,1,2,1,12,14
6,Columbia Shuswap,1,2,1,3,14
9,East Kootenay,1,2,1,6,14
10,"Fraser Valley, East (including Abbotsford/Mission)",1,1,2,8,14
11,Fraser-Fort George,2,3,1,10,14
12,Kitimat-Stikine,2,3,1,11,14
13,Kootenay Boundary,1,2,1,7,14
14,"Fraser Valley, West (Delta to Langley/Maple Ridge)",1,1,2,9,14
16,North Okanagan,1,2,1,13,14
17,Okanagan-Similkameen,1,2,1,14,14
18,Peace River,3,3,1,15,14
19,Squamish-Lilloeet,1,2,2,16,14
20,Thompson-Nicola,1,2,1,19,14
21,Vancouver Island,1,1,2,20,14
22,Powell River / qathet Region,1,1,2,17,14
23,Sunshine Coast,1,1,2,18,14
