id,label
1,"0.6 m x 2.7 m (2 ft x 9 ft)"
2,"0.6 m x 3.0 m (2 ft x 10 ft)"
3,"0.75 m x 2.7 m (2.5 ft x 9 ft)"
4,"0.75 m x 3.0 m (2.5 ft x 10 ft)"
5,"0.9 m x 2.7 m (3 ft x 9 ft)"
6,"0.9 m x 3.0 m (3 ft x 10 ft)"
