SoilTestPhosphorousKelownaRangeId,SoilTestPhosphorousRegionCode,PhosphorousCropGroupRegionCode,P2O5RecommendationKilogramPerHectare,StaticDataVersionId
4,3,3,80,1
5,1,6,0,1
5,1,5,80,1
5,1,4,80,1
5,1,3,60,1
5,1,2,40,1
5,1,1,0,1
4,3,6,0,1
4,3,5,100,1
4,3,4,100,1
4,3,2,70,1
4,1,2,60,1
4,2,6,0,1
4,2,5,100,1
4,2,4,100,1
4,2,3,80,1
4,2,2,70,1
4,2,1,60,1
4,1,6,0,1
4,1,5,100,1
4,1,4,100,1
4,1,3,80,1
5,2,1,50,1
4,3,1,60,1
5,2,2,60,1
6,3,3,60,1
5,2,4,90,1
6,3,4,80,1
4,1,1,0,1
6,3,2,50,1
6,3,1,40,1
6,2,6,0,1
6,2,5,80,1
6,2,4,80,1
6,2,3,60,1
6,2,2,50,1
6,2,1,40,1
6,1,6,0,1
5,2,3,70,1
6,1,5,60,1
6,1,3,60,1
6,1,2,30,1
6,1,1,0,1
5,3,6,0,1
5,3,5,90,1
5,3,4,90,1
5,3,3,70,1
5,3,2,60,1
5,3,1,50,1
5,2,6,0,1
5,2,5,90,1
6,1,4,60,1
3,3,6,0,1
2,2,5,140,1
3,3,4,120,1
2,1,4,140,1
2,1,3,120,1
2,1,2,100,1
2,1,1,0,1
1,3,6,0,1
1,3,5,160,1
1,3,4,140,1
1,3,3,120,1
1,3,2,100,1
1,3,1,80,1
1,2,6,0,1
1,2,5,160,1
1,2,4,140,1
1,2,3,120,1
1,2,2,100,1
1,2,1,80,1
1,1,6,0,1
1,1,5,200,1
1,1,4,170,1
1,1,3,140,1
1,1,2,120,1
1,1,1,0,1
6,3,5,80,1
2,1,5,170,1
2,1,6,0,1
2,2,1,80,1
2,2,2,90,1
3,3,3,90,1
3,3,2,80,1
3,3,1,70,1
3,2,6,0,1
3,2,5,120,1
3,2,4,120,1
3,2,3,90,1
3,2,2,80,1
3,2,1,70,1
3,1,6,0,1
3,1,5,144,1
3,3,5,120,1
3,1,4,120,1
3,1,2,80,1
3,1,1,0,1
2,3,6,0,1
2,3,5,140,1
2,3,4,130,1
2,3,3,100,1
2,3,2,90,1
2,3,1,80,1
2,2,6,0,1
2,2,4,130,1
2,2,3,100,1
3,1,3,100,1
6,3,6,0,1
10,1,5,40,1
7,1,2,20,1
11,2,3,20,1
11,2,2,15,1
11,2,1,10,1
11,1,6,0,1
11,1,5,25,1
11,1,4,20,1
11,1,3,15,1
11,1,2,10,1
11,1,1,0,1
10,3,6,0,1
10,3,5,50,1
10,3,4,40,1
10,3,3,30,1
10,3,2,20,1
10,3,1,15,1
10,2,6,0,1
10,2,5,50,1
7,1,1,0,1
10,2,3,30,1
10,2,2,20,1
10,2,1,15,1
10,1,6,0,1
10,1,4,30,1
11,2,4,25,1
10,1,3,20,1
11,2,5,30,1
11,3,1,10,1
12,3,6,0,1
12,3,5,0,1
12,3,4,0,1
12,3,3,0,1
12,3,2,0,1
12,3,1,0,1
12,2,6,0,1
12,2,5,0,1
12,2,4,0,1
12,2,3,0,1
12,2,2,0,1
12,2,1,0,1
12,1,6,0,1
12,1,5,0,1
12,1,4,0,1
12,1,3,0,1
12,1,2,0,1
12,1,1,0,1
11,3,6,0,1
11,3,5,30,1
11,3,4,25,1
11,3,3,20,1
11,3,2,15,1
11,2,6,0,1
10,1,2,15,1
10,2,4,40,1
9,3,6,0,1
8,2,2,30,1
8,2,1,20,1
8,1,6,0,1
8,1,5,40,1
8,1,4,30,1
8,1,3,20,1
10,1,1,0,1
8,1,1,0,1
7,3,6,0,1
7,3,5,70,1
7,3,4,70,1
8,2,3,40,1
7,3,3,50,1
7,3,1,30,1
7,2,6,0,1
7,2,5,70,1
7,2,4,70,1
7,2,3,50,1
7,2,2,40,1
7,2,1,30,1
7,1,6,0,1
7,1,5,50,1
7,1,4,40,1
7,1,3,30,1
7,3,2,40,1
8,2,4,60,1
8,1,2,15,1
8,2,6,0,1
9,3,5,50,1
9,3,4,40,1
8,2,5,60,1
9,3,2,20,1
9,3,1,15,1
9,2,6,0,1
9,2,5,50,1
9,2,4,40,1
9,2,3,30,1
9,2,2,20,1
9,2,1,15,1
9,3,3,30,1
9,1,5,40,1
9,1,4,30,1
9,1,3,20,1
9,1,2,15,1
9,1,1,0,1
8,3,6,0,1
8,3,5,60,1
8,3,4,60,1
8,3,3,40,1
8,3,2,30,1
8,3,1,20,1
9,1,6,0,1
4,2,4,100,2
4,2,3,80,2
4,2,2,70,2
4,2,1,60,2
4,1,6,0,2
4,1,5,100,2
4,1,4,100,2
4,1,3,80,2
4,3,1,60,2
4,1,1,0,2
5,1,6,0,2
5,1,5,80,2
5,1,4,80,2
5,1,3,60,2
5,1,2,40,2
5,1,1,0,2
5,2,1,50,2
5,2,2,60,2
5,2,4,90,2
5,2,3,70,2
5,3,6,0,2
5,3,5,90,2
5,3,4,90,2
5,3,3,70,2
5,3,2,60,2
5,3,1,50,2
5,2,6,0,2
5,2,5,90,2
6,3,3,60,2
6,3,4,80,2
6,3,2,50,2
4,2,5,100,2
3,2,4,120,2
4,1,2,60,2
6,3,1,40,2
2,3,4,130,2
2,3,3,100,2
2,3,2,90,2
2,3,1,80,2
2,2,6,0,2
2,2,4,130,2
2,2,3,100,2
3,3,6,0,2
3,3,4,120,2
3,3,3,90,2
3,3,2,80,2
3,3,1,70,2
3,2,6,0,2
4,2,6,0,2
3,2,5,120,2
3,2,2,80,2
3,2,1,70,2
3,1,6,0,2
3,1,5,144,2
3,3,5,120,2
3,1,4,120,2
3,1,2,80,2
3,1,1,0,2
3,1,3,100,2
4,3,3,80,2
4,3,6,0,2
4,3,5,100,2
4,3,4,100,2
4,3,2,70,2
3,2,3,90,2
6,2,6,0,2
8,1,5,40,2
6,2,4,80,2
7,3,1,30,2
7,2,6,0,2
7,2,5,70,2
7,2,4,70,2
7,2,3,50,2
7,2,2,40,2
7,2,1,30,2
7,1,6,0,2
7,1,5,50,2
7,1,4,40,2
7,1,3,30,2
7,3,2,40,2
8,2,2,30,2
8,2,1,20,2
7,3,3,50,2
8,1,6,0,2
8,1,4,30,2
8,1,3,20,2
8,1,1,0,2
8,2,3,40,2
8,2,4,60,2
8,1,2,15,2
8,2,6,0,2
8,2,5,60,2
8,3,6,0,2
8,3,5,60,2
8,3,4,60,2
8,3,3,40,2
8,3,2,30,2
8,3,1,20,2
2,3,5,140,2
