Id,Range,RangeLow,RangeHigh,StaticDataVersionId
11,76-100,76,100,1
12,100+,101,1000,1
10,61-75,61,75,1
1,0-5,0,5,1
2,10-Jun,6,10,1
3,15-Nov,11,15,1
4,16-20,16,20,1
5,21-25,21,25,1
6,26-30,26,30,1
9,51-60,51,60,1
7,31-40,31,40,1
8,41-50,41,50,1
8,41-50,41,50,2
4,16-20,16,20,2
7,31-40,31,40,2
9,51-60,51,60,2
6,26-30,26,30,2
5,21-25,21,25,2
3,15-Nov,11,15,2
1,0-5,0,5,2
10,61-75,61,75,2
12,100+,101,1000,2
11,76-100,76,100,2
2,10-Jun,6,10,2
2,10-Jun,6,10,3
3,15-Nov,11,15,3
11,76-100,76,100,3
12,100+,101,1000,3
10,61-75,61,75,3
1,0-5,0,5,3
5,21-25,21,25,3
9,51-60,51,60,3
7,31-40,31,40,3
4,16-20,16,20,3
8,41-50,41,50,3
6,26-30,26,30,3
6,26-30,26,30,4
5,21-25,21,25,4
8,41-50,41,50,4
4,16-20,16,20,4
7,31-40,31,40,4
9,51-60,51,60,4
1,0-5,0,5,4
12,100+,101,1000,4
11,76-100,76,100,4
3,15-Nov,11,15,4
2,10-Jun,6,10,4
10,61-75,61,75,4
10,61-75,61,75,5
1,0-5,0,5,5
2,10-Jun,6,10,5
3,15-Nov,11,15,5
11,76-100,76,100,5
12,100+,101,1000,5
9,51-60,51,60,5
4,16-20,16,20,5
8,41-50,41,50,5
5,21-25,21,25,5
6,26-30,26,30,5
7,31-40,31,40,5
7,31-40,31,40,6
9,51-60,51,60,6
6,26-30,26,30,6
5,21-25,21,25,6
8,41-50,41,50,6
4,16-20,16,20,6
12,100+,101,1000,6
3,15-Nov,11,15,6
2,10-Jun,6,10,6
1,0-5,0,5,6
10,61-75,61,75,6
11,76-100,76,100,6
10,61-75,61,75,7
1,0-5,0,5,7
2,10-Jun,6,10,7
3,15-Nov,11,15,7
11,76-100,76,100,7
12,100+,101,1000,7
9,51-60,51,60,7
4,16-20,16,20,7
8,41-50,41,50,7
5,21-25,21,25,7
6,26-30,26,30,7
7,31-40,31,40,7
7,31-40,31,40,8
9,51-60,51,60,8
6,26-30,26,30,8
5,21-25,21,25,8
8,41-50,41,50,8
4,16-20,16,20,8
12,100+,101,1000,8
3,15-Nov,11,15,8
2,10-Jun,6,10,8
1,0-5,0,5,8
10,61-75,61,75,8
11,76-100,76,100,8
11,76-100,76,100,9
12,100+,101,1000,9
10,61-75,61,75,9
1,0-5,0,5,9
2,10-Jun,6,10,9
3,15-Nov,11,15,9
4,16-20,16,20,9
5,21-25,21,25,9
6,26-30,26,30,9
9,51-60,51,60,9
7,31-40,31,40,9
8,41-50,41,50,9
8,41-50,41,50,10
4,16-20,16,20,10
7,31-40,31,40,10
9,51-60,51,60,10
6,26-30,26,30,10
5,21-25,21,25,10
3,15-Nov,11,15,10
1,0-5,0,5,10
10,61-75,61,75,10
12,100+,101,1000,10
11,76-100,76,100,10
2,10-Jun,6,10,10
12,100+,101,1000,12
7,31-40,31,40,12
11,76-100,76,100,12
10,61-75,61,75,12
9,51-60,51,60,12
8,41-50,41,50,12
6,26-30,26,30,12
4,16-20,16,20,12
3,15-Nov,11,15,12
2,10-Jun,6,10,12
1,0-5,0,5,12
5,21-25,21,25,12
1,0-5,0,5,13
2,10-Jun,6,10,13
3,15-Nov,11,15,13
4,16-20,16,20,13
5,21-25,21,25,13
6,26-30,26,30,13
7,31-40,31,40,13
8,41-50,41,50,13
9,51-60,51,60,13
10,61-75,61,75,13
11,76-100,76,100,13
12,100+,101,1000,13
1,0-5,0,5,14
2,10-Jun,6,10,14
3,15-Nov,11,15,14
4,16-20,16,20,14
5,21-25,21,25,14
6,26-30,26,30,14
7,31-40,31,40,14
8,41-50,41,50,14
9,51-60,51,60,14
10,61-75,61,75,14
11,76-100,76,100,14
12,100+,101,1000,14
