Id,Name,ConvertToKelownaPHLessThan72,ConvertToKelownaPHGreaterThanEqual72,ConvertToKelownaK,SortNum,StaticDataVersionId
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,5
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,5
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,5
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,5
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,5
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,5
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,5
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,5
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,5
12,Other lab (Original Kelowna method),1,1,1,10,5
12,Other lab (Original Kelowna method),1,1,1,10,6
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,6
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,6
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,6
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,6
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,6
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,6
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,6
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,6
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,6
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,6
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,7
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,7
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,7
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,7
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,7
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,7
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,7
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,7
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,7
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,7
12,Other lab (Original Kelowna method),1,1,1,10,7
12,Other lab (Original Kelowna method),1,1,1,10,8
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,8
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,8
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,8
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,8
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,8
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,8
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,8
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,8
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,8
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,8
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,9
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,9
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,9
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,9
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,9
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,9
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,9
12,Other lab (Original Kelowna method),1,1,1,10,9
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,9
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,9
2,A and L Canada (Bray-1 and Mehlich 3),0.74,1,0.75,110,9
2,A and L Canada (Bray-1 and Mehlich 3),0.74,1,0.75,110,10
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,10
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,10
12,Other lab (Original Kelowna method),1,1,1,10,10
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,10
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,10
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,10
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,10
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,10
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,10
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,10
12,Other lab (Original Kelowna method),1,1,1,10,12
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,12
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,12
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,12
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,12
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,12
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,12
2,A and L Canada (Bray-1 and Mehlich 3),0.74,1,0.75,110,12
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,12
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,12
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,12
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,13
2,A and L Canada (Bray-1 and Mehlich 3),0.74,1,0.75,110,13
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,13
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,13
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,13
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,13
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,13
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,13
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,13
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,13
12,Other lab (Original Kelowna method),1,1,1,10,13
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,14
2,A and L Canada (Bray-1 and Mehlich 3),0.74,1,0.75,110,14
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,14
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,14
6,Element (Mod Kelowna 95),1.24,1.24,0.76,160,14
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,14
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,14
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,14
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,14
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,14
12,Other lab (Original Kelowna method),1,1,1,10,14
