Id,Name,ConvertToKelownaPHLessThan72,ConvertToKelownaPHGreaterThanEqual72,ConvertToKelownaK,SortNum,StaticDataVersionId
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,1
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,1
12,Other lab (Original Kelowna method),1,1,1,10,1
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,1
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,1
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,1
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,1
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,1
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,1
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,1
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,1
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,2
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,2
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,2
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,2
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,2
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,2
12,Other lab (Original Kelowna method),1,1,1,10,2
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,2
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,2
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,2
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,2
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,3
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,3
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,3
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,3
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,3
12,Other lab (Original Kelowna method),1,1,1,10,3
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,3
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,3
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,3
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,3
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,3
4,Brookside (Mehlich 3),0.72,0.72,0.75,140,4
9,Plant Science Lab/Terralink (Mehlich 3),0.72,0.72,0.75,190,4
2,A and L Canada (Bray-1 and Mehlich 3),0.92,0.92,0.75,110,4
7,MB Laboratories (Mod Kelowna 94),1.24,1.24,0.76,170,4
12,Other lab (Original Kelowna method),1,1,1,10,4
6,Exova (Mod Kelowna 95),1.24,1.24,0.76,160,4
11,Other lab (Bicarbonate and Amm Acetate),2,2,0.8,10,4
8,Pacific Soil Analysis (Bray-1 and Amm Acetate),0.74,1,0.8,180,4
3,ALS (Mod Kelowna 94),1.24,1.24,0.76,120,4
1,AGAT (Mod Bray-1 and Amm Acetate),0.74,1,0.8,100,4
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,4
10,Soil Foodweb Canada (Mehlich 1),0.72,0.72,0.75,200,5
