SoilTestPotassiumKelownaRangeId,SoilTestPotassiumRegionCode,PotassiumCropGroupRegionCode,K2ORecommendationKilogramPerHectare,StaticDataVersionId
13,1,3,10,1
10,3,2,20,1
10,3,4,40,1
10,2,6,0,1
8,3,5,40,1
8,3,4,40,1
8,3,3,40,1
8,3,2,30,1
8,3,1,15,1
8,2,6,0,1
8,2,5,80,1
8,2,4,60,1
8,2,3,20,1
8,2,2,20,1
8,2,1,0,1
8,1,6,0,1
8,1,5,80,1
8,1,4,60,1
8,1,3,20,1
8,1,2,20,1
8,1,1,0,1
7,3,6,0,1
7,3,5,60,1
7,3,4,40,1
7,3,3,40,1
7,3,2,30,1
7,3,1,20,1
7,2,6,0,1
7,2,5,100,1
10,3,1,10,1
9,1,1,0,1
8,3,6,0,1
9,1,3,20,1
10,2,5,40,1
10,2,4,40,1
10,2,3,10,1
10,2,1,0,1
10,1,6,0,1
10,1,5,60,1
10,1,4,40,1
10,1,3,20,1
10,1,2,20,1
9,1,2,20,1
9,3,6,0,1
9,3,5,40,1
10,1,1,0,1
9,3,3,40,1
9,3,2,30,1
9,3,1,15,1
9,2,6,0,1
9,2,5,60,1
9,2,4,40,1
9,2,3,20,1
9,2,2,20,1
9,2,1,0,1
9,3,4,40,1
9,1,6,0,1
9,1,5,70,1
9,1,4,50,1
2,3,2,100,2
3,2,3,100,2
2,3,4,150,2
3,2,4,200,2
3,2,5,250,2
3,2,6,0,2
3,3,1,60,2
3,3,2,80,2
3,3,3,100,2
3,3,4,125,2
3,2,2,80,2
3,3,6,0,2
2,2,6,0,2
2,3,1,80,2
2,3,3,125,2
3,3,5,150,2
3,1,3,100,2
3,1,5,250,2
4,2,2,60,2
4,2,3,80,2
2,3,5,200,2
4,2,4,150,2
4,2,5,250,2
4,2,6,0,2
4,3,1,40,2
4,3,2,60,2
4,3,3,80,2
4,3,4,100,2
4,3,6,0,2
3,1,6,0,2
3,1,1,0,2
3,1,2,80,2
3,1,4,200,2
3,2,1,0,2
4,3,5,125,2
1,2,2,150,2
2,2,5,250,2
1,2,6,0,2
1,3,1,100,2
1,3,2,125,2
1,3,3,150,2
1,3,4,200,2
1,3,5,250,2
1,3,6,0,2
11,1,1,0,2
11,1,2,20,2
11,1,3,20,2
11,1,4,40,2
11,1,5,40,2
11,1,6,0,2
4,2,1,0,2
11,2,1,0,2
1,2,5,250,2
1,2,4,200,2
1,2,3,200,2
1,2,1,0,2
2,2,4,200,2
2,2,3,150,2
2,2,2,100,2
2,1,1,0,2
2,1,2,100,2
2,1,3,150,2
2,1,4,200,2
2,3,6,0,2
2,1,5,250,2
2,2,1,0,2
1,1,1,0,2
1,1,2,150,2
1,1,3,200,2
1,1,4,200,2
1,1,5,250,2
1,1,6,0,2
2,1,6,0,2
4,1,6,0,2
7,2,6,0,2
4,1,4,150,2
6,1,3,40,2
6,1,4,80,2
6,1,5,150,2
6,1,6,0,2
6,2,1,0,2
6,2,2,30,2
6,2,3,40,2
6,2,4,80,2
6,2,6,0,2
6,3,1,30,2
6,3,2,50,2
6,3,3,50,2
6,3,4,60,2
6,3,5,80,2
6,3,6,0,2
6,1,2,30,2
7,2,5,100,2
6,1,1,0,2
5,2,6,0,2
5,3,4,80,2
5,3,3,60,2
5,3,2,50,2
5,3,1,30,2
5,1,1,0,2
5,1,2,40,2
5,1,3,60,2
5,1,4,100,2
5,1,5,200,2
5,1,6,0,2
5,2,1,0,2
5,2,2,40,2
5,2,3,60,2
5,2,4,100,2
5,2,5,200,2
6,2,5,150,2
11,2,2,0,2
7,3,1,20,2
7,3,2,30,2
8,1,6,0,2
8,2,1,0,2
8,2,2,20,2
8,2,3,20,2
8,2,4,60,2
8,2,5,80,2
8,2,6,0,2
8,3,1,15,2
8,3,2,30,2
8,3,3,40,2
8,3,4,40,2
8,3,5,40,2
4,1,3,80,2
4,1,1,0,2
4,1,2,60,2
8,1,5,80,2
8,1,4,60,2
8,1,3,20,2
8,1,2,20,2
7,3,3,40,2
7,3,4,40,2
7,3,5,60,2
7,3,6,0,2
7,2,3,40,2
7,2,4,60,2
7,1,6,0,2
4,1,5,250,2
7,2,2,30,2
7,1,1,0,2
7,1,2,30,2
7,1,3,40,2
7,1,4,60,2
7,1,5,100,2
8,3,6,0,2
8,1,1,0,2
7,2,1,0,2
11,2,3,0,2
13,3,2,0,2
11,2,5,40,2
14,1,5,0,2
14,2,4,0,2
14,3,4,0,2
14,2,6,0,2
14,3,1,0,2
14,3,2,0,2
14,3,3,0,2
14,3,5,0,2
14,3,6,0,2
14,1,2,0,2
14,2,5,0,2
14,1,1,0,2
9,1,1,0,2
9,1,3,20,2
9,1,2,20,2
9,3,6,0,2
9,3,5,40,2
9,3,3,40,2
9,3,2,30,2
9,3,1,15,2
9,2,6,0,2
14,2,3,0,2
9,2,5,60,2
14,1,4,0,2
11,2,4,20,2
5,3,6,0,2
10,2,2,10,2
10,3,6,0,2
10,3,5,30,2
10,3,3,30,2
10,3,2,20,2
10,3,4,40,2
10,2,6,0,2
10,3,1,10,2
10,2,5,40,2
10,2,4,40,2
10,2,3,10,2
10,2,1,0,2
10,1,6,0,2
10,1,5,60,2
10,1,4,40,2
10,1,3,20,2
10,1,2,20,2
10,1,1,0,2
14,2,2,0,2
14,2,1,0,2
14,1,3,0,2
9,2,4,40,2
14,1,6,0,2
9,2,2,20,2
12,1,5,40,2
12,1,6,0,2
12,2,1,0,2
12,2,2,0,2
12,3,6,0,2
12,3,5,0,2
12,3,4,0,2
12,3,3,0,2
12,3,2,0,2
12,3,1,0,2
12,1,1,0,2
12,2,6,0,2
12,2,4,0,2
12,2,3,0,2
11,3,6,0,2
11,3,5,0,2
11,3,4,20,2
11,3,3,0,2
11,3,2,0,2
11,3,1,0,2
9,2,3,20,2
11,2,6,0,2
12,2,5,20,2
12,1,2,20,2
5,3,5,100,2
12,1,4,40,2
12,1,3,20,2
9,3,4,40,2
9,2,1,0,2
9,1,6,0,2
9,1,5,70,2
9,1,4,50,2
13,3,6,0,2
13,3,4,0,2
13,3,3,0,2
13,3,1,0,2
13,2,6,0,2
13,3,5,0,2
13,2,4,0,2
13,2,3,0,2
13,2,2,0,2
13,2,1,0,2
13,1,6,0,2
13,1,5,20,2
13,1,4,20,2
13,1,2,10,2
13,1,3,10,2
13,2,5,0,2
13,1,1,0,2
11,3,2,0,3
12,3,1,0,3
11,3,4,20,3
12,3,2,0,3
12,3,3,0,3
12,3,4,0,3
12,3,5,0,3
12,3,6,0,3
12,2,2,0,3
12,2,1,0,3
12,1,1,0,3
12,1,5,40,3
11,2,6,0,3
11,3,1,0,3
11,3,3,0,3
12,1,6,0,3
12,2,5,20,3
12,2,4,0,3
13,2,1,0,3
13,2,2,0,3
11,3,5,0,3
13,2,3,0,3
13,2,4,0,3
13,3,5,0,3
13,2,6,0,3
13,3,1,0,3
13,3,3,0,3
13,3,4,0,3
13,3,2,0,3
12,1,3,20,3
12,1,4,40,3
12,1,2,20,3
12,2,3,0,3
12,2,6,0,3
13,3,6,0,3
6,3,2,50,3
11,2,4,20,3
6,2,3,40,3
6,2,2,30,3
6,2,1,0,3
6,1,6,0,3
6,1,5,150,3
6,1,4,80,3
6,1,3,40,3
2,1,6,0,3
2,2,1,0,3
2,1,5,250,3
2,3,6,0,3
2,1,4,200,3
2,1,3,150,3
13,1,6,0,3
2,1,2,100,3
6,2,4,80,3
6,2,6,0,3
6,3,1,30,3
6,3,3,50,3
11,2,5,40,3
11,2,3,0,3
11,2,2,0,3
11,2,1,0,3
11,1,6,0,3
11,1,5,40,3
11,1,4,40,3
11,3,6,0,3
11,1,3,20,3
11,1,1,0,3
6,2,5,150,3
6,1,1,0,3
6,1,2,30,3
6,3,6,0,3
6,3,5,80,3
6,3,4,60,3
11,1,2,20,3
13,1,5,20,3
14,1,3,0,3
13,1,2,10,3
10,1,4,40,3
10,1,5,60,3
10,1,6,0,3
10,2,1,0,3
10,2,3,10,3
10,2,4,40,3
10,2,5,40,3
10,3,1,10,3
10,2,6,0,3
10,3,4,40,3
10,3,2,20,3
10,3,3,30,3
10,3,5,30,3
10,3,6,0,3
10,2,2,10,3
10,1,3,20,3
14,1,6,0,3
10,1,2,20,3
1,2,2,150,3
1,1,4,200,3
1,1,3,200,3
1,1,2,150,3
1,1,1,0,3
1,2,1,0,3
1,2,3,200,3
1,2,4,200,3
1,2,5,250,3
1,3,6,0,3
1,3,5,250,3
1,3,4,200,3
1,3,3,150,3
1,3,2,125,3
1,3,1,100,3
1,2,6,0,3
10,1,1,0,3
2,1,1,0,3
14,2,1,0,3
14,2,2,0,3
9,2,2,20,3
9,2,4,40,3
9,2,5,60,3
9,2,6,0,3
9,3,1,15,3
9,3,2,30,3
9,3,3,40,3
9,3,5,40,3
9,3,6,0,3
9,1,2,20,3
9,1,3,20,3
9,1,1,0,3
13,1,1,0,3
13,2,5,0,3
13,1,3,10,3
9,2,3,20,3
9,3,4,40,3
9,2,1,0,3
9,1,6,0,3
14,1,4,0,3
14,2,3,0,3
14,1,1,0,3
14,2,5,0,3
14,1,2,0,3
14,3,6,0,3
14,3,5,0,3
13,1,4,20,3
14,3,3,0,3
14,3,1,0,3
14,2,6,0,3
14,3,4,0,3
14,2,4,0,3
14,1,5,0,3
9,1,4,50,3
9,1,5,70,3
14,3,2,0,3
2,2,2,100,3
4,2,6,0,3
2,2,4,200,3
7,3,5,60,3
7,3,6,0,3
7,2,3,40,3
7,2,4,60,3
7,1,6,0,3
7,2,2,30,3
7,1,1,0,3
7,1,2,30,3
7,1,3,40,3
7,1,4,60,3
7,1,5,100,3
7,2,1,0,3
8,1,6,0,3
8,2,1,0,3
8,2,2,20,3
8,2,3,20,3
8,2,4,60,3
8,2,5,80,3
8,2,6,0,3
8,3,1,15,3
8,3,2,30,3
7,3,4,40,3
8,3,3,40,3
7,3,3,40,3
2,2,3,150,3
1,1,5,250,3
5,2,6,0,3
5,3,4,80,3
5,3,3,60,3
5,3,2,50,3
5,3,1,30,3
5,1,1,0,3
5,1,2,40,3
5,1,3,60,3
5,1,4,100,3
5,1,5,200,3
5,1,6,0,3
5,2,1,0,3
5,2,2,40,3
5,2,3,60,3
5,2,4,100,3
5,2,5,200,3
5,3,6,0,3
5,3,5,100,3
7,2,6,0,3
7,2,5,100,3
7,3,2,30,3
8,3,4,40,3
7,3,1,20,3
8,1,5,80,3
3,3,1,60,3
3,3,2,80,3
3,3,3,100,3
3,3,4,125,3
3,2,2,80,3
3,3,6,0,3
3,3,5,150,3
3,1,3,100,3
3,1,5,250,3
3,1,6,0,3
3,2,6,0,3
3,1,1,0,3
3,1,4,200,3
3,2,1,0,3
2,3,2,100,3
2,3,4,150,3
2,2,6,0,3
2,3,1,80,3
2,3,3,125,3
2,3,5,200,3
8,3,5,40,3
2,2,5,250,3
3,1,2,80,3
3,2,5,250,3
1,1,6,0,3
3,2,3,100,3
3,2,4,200,3
8,1,3,20,3
8,1,4,60,3
8,1,2,20,3
8,3,6,0,3
8,1,1,0,3
4,2,3,80,3
4,2,4,150,3
4,2,5,250,3
4,3,1,40,3
4,3,2,60,3
4,2,2,60,3
4,3,4,100,3
4,3,6,0,3
4,3,5,125,3
4,2,1,0,3
4,1,6,0,3
4,1,4,150,3
4,1,3,80,3
4,1,1,0,3
4,1,5,250,3
4,3,3,80,3
4,1,2,60,3
2,1,5,250,4
3,1,5,250,4
2,1,4,200,4
3,1,6,0,4
3,2,6,0,4
3,1,1,0,4
3,1,4,200,4
3,2,1,0,4
3,1,2,80,4
3,2,5,250,4
3,1,3,100,4
3,2,4,200,4
2,1,6,0,4
2,2,1,0,4
2,3,6,0,4
3,2,3,100,4
3,3,4,125,4
3,3,6,0,4
4,3,4,100,4
4,3,6,0,4
2,1,3,150,4
4,3,5,125,4
4,2,1,0,4
4,1,6,0,4
4,1,4,150,4
4,1,3,80,4
4,1,1,0,4
4,1,5,250,4
4,1,2,60,4
3,3,1,60,4
3,3,2,80,4
3,3,3,100,4
3,2,2,80,4
3,3,5,150,4
4,3,3,80,4
10,3,1,10,4
2,1,1,0,4
10,3,3,30,4
10,3,5,30,4
10,3,6,0,4
10,2,2,10,4
10,1,3,20,4
10,1,2,20,4
10,1,1,0,4
11,3,2,0,4
11,3,4,20,4
11,2,6,0,4
11,3,1,0,4
11,3,3,0,4
11,3,5,0,4
4,2,2,60,4
11,2,4,20,4
10,3,2,20,4
10,3,4,40,4
10,2,6,0,4
10,2,5,40,4
2,2,2,100,4
2,2,4,200,4
2,2,3,150,4
2,3,2,100,4
2,3,4,150,4
2,2,6,0,4
2,3,1,80,4
2,1,2,100,4
2,3,3,125,4
2,2,5,250,4
10,1,4,40,4
10,1,5,60,4
10,1,6,0,4
10,2,1,0,4
10,2,3,10,4
10,2,4,40,4
2,3,5,200,4
4,3,2,60,4
7,3,6,0,4
4,2,5,250,4
5,3,2,50,4
5,3,1,30,4
5,1,1,0,4
5,1,2,40,4
5,1,3,60,4
5,1,4,100,4
5,1,5,200,4
5,1,6,0,4
5,2,1,0,4
5,2,2,40,4
5,2,3,60,4
5,2,4,100,4
5,2,5,200,4
5,3,6,0,4
5,3,5,100,4
5,3,3,60,4
7,3,5,60,4
5,3,4,80,4
6,3,4,60,4
6,2,2,30,4
6,2,1,0,4
6,1,6,0,4
6,1,5,150,4
6,1,4,80,4
6,1,3,40,4
6,2,4,80,4
6,2,6,0,4
6,3,1,30,4
6,3,3,50,4
6,2,5,150,4
6,1,1,0,4
6,1,2,30,4
6,3,6,0,4
6,3,5,80,4
5,2,6,0,4
11,2,5,40,4
7,2,3,40,4
7,2,4,60,4
8,2,6,0,4
8,3,1,15,4
8,3,2,30,4
8,3,3,40,4
8,3,4,40,4
8,1,5,80,4
8,3,5,40,4
8,1,3,20,4
8,1,4,60,4
8,1,2,20,4
8,3,6,0,4
8,1,1,0,4
4,2,6,0,4
4,2,3,80,4
4,2,4,150,4
8,2,5,80,4
8,2,4,60,4
8,2,3,20,4
8,2,2,20,4
7,1,6,0,4
7,2,2,30,4
7,1,1,0,4
7,1,2,30,4
7,1,3,40,4
7,1,4,60,4
7,1,5,100,4
4,3,1,40,4
7,2,1,0,4
7,3,3,40,4
7,2,6,0,4
7,2,5,100,4
7,3,2,30,4
7,3,1,20,4
8,1,6,0,4
8,2,1,0,4
7,3,4,40,4
11,2,3,0,4
13,1,2,10,4
11,2,1,0,4
14,3,3,0,4
14,3,5,0,4
14,3,6,0,4
14,1,2,0,4
14,2,5,0,4
14,1,1,0,4
14,2,3,0,4
14,1,4,0,4
14,2,2,0,4
14,2,1,0,4
14,1,6,0,4
14,1,3,0,4
9,1,5,70,4
9,1,4,50,4
9,1,6,0,4
9,2,1,0,4
9,3,4,40,4
9,2,3,20,4
9,1,1,0,4
9,1,3,20,4
9,1,2,20,4
14,3,1,0,4
9,3,6,0,4
14,2,6,0,4
11,2,2,0,4
6,2,3,40,4
1,1,6,0,4
1,1,5,250,4
1,2,6,0,4
1,3,1,100,4
1,3,2,125,4
1,3,3,150,4
1,3,4,200,4
1,3,5,250,4
1,3,6,0,4
1,2,5,250,4
1,2,4,200,4
1,2,3,200,4
1,2,1,0,4
1,1,1,0,4
1,1,2,150,4
1,1,3,200,4
1,1,4,200,4
1,2,2,150,4
14,3,2,0,4
14,1,5,0,4
14,3,4,0,4
9,3,5,40,4
14,2,4,0,4
9,3,2,30,4
12,1,3,20,4
12,2,4,0,4
12,2,5,20,4
12,1,6,0,4
12,1,5,40,4
12,1,1,0,4
12,2,1,0,4
12,2,2,0,4
12,3,6,0,4
12,3,5,0,4
12,1,4,40,4
12,3,4,0,4
12,3,2,0,4
12,3,1,0,4
11,1,2,20,4
11,1,1,0,4
11,1,3,20,4
11,3,6,0,4
11,1,4,40,4
11,1,5,40,4
9,3,3,40,4
11,1,6,0,4
12,3,3,0,4
12,1,2,20,4
6,3,2,50,4
12,2,6,0,4
12,2,3,0,4
9,2,6,0,4
9,3,1,15,4
9,2,5,60,4
9,2,4,40,4
9,2,2,20,4
13,1,3,10,4
13,2,5,0,4
13,1,1,0,4
13,1,5,20,4
13,1,6,0,4
13,1,4,20,4
13,3,2,0,4
13,3,4,0,4
13,3,3,0,4
13,3,1,0,4
13,2,6,0,4
13,3,5,0,4
13,2,4,0,4
13,2,3,0,4
13,2,1,0,4
13,3,6,0,4
13,2,2,0,4
11,1,1,0,5
11,2,5,40,5
11,1,3,20,5
11,1,2,20,5
11,2,2,0,5
11,2,1,0,5
11,2,3,0,5
11,2,4,20,5
11,3,4,20,5
11,3,3,0,5
11,3,1,0,5
11,2,6,0,5
11,3,2,0,5
5,2,6,0,5
5,3,4,80,5
11,3,6,0,5
5,3,3,60,5
11,3,5,0,5
11,1,4,40,5
12,3,4,0,5
11,1,6,0,5
5,3,5,100,5
12,2,3,0,5
12,2,6,0,5
12,1,2,20,5
12,3,3,0,5
12,3,1,0,5
12,3,2,0,5
12,1,4,40,5
11,1,5,40,5
12,3,5,0,5
12,2,2,0,5
12,2,1,0,5
12,1,1,0,5
12,1,5,40,5
12,1,6,0,5
12,2,5,20,5
12,2,4,0,5
12,1,3,20,5
12,3,6,0,5
5,3,6,0,5
2,1,6,0,5
5,2,4,100,5
2,1,1,0,5
2,1,3,150,5
2,3,6,0,5
2,2,1,0,5
13,1,2,10,5
2,1,4,200,5
2,1,5,250,5
3,3,5,150,5
3,2,2,80,5
3,3,3,100,5
3,3,2,80,5
3,3,1,60,5
3,3,6,0,5
3,3,4,125,5
3,2,3,100,5
3,2,4,200,5
3,1,3,100,5
2,2,2,100,5
2,2,4,200,5
2,2,3,150,5
2,3,2,100,5
5,2,3,60,5
5,2,2,40,5
5,2,1,0,5
5,1,6,0,5
5,1,5,200,5
5,1,4,100,5
5,1,3,60,5
5,1,2,40,5
5,2,5,200,5
5,1,1,0,5
5,3,2,50,5
2,3,5,200,5
2,2,5,250,5
2,3,3,125,5
2,1,2,100,5
2,3,1,80,5
2,2,6,0,5
2,3,4,150,5
5,3,1,30,5
13,1,3,10,5
9,2,6,0,5
13,1,1,0,5
1,2,3,200,5
1,2,4,200,5
1,2,5,250,5
1,3,6,0,5
1,3,5,250,5
1,3,4,200,5
1,3,3,150,5
1,3,2,125,5
1,2,1,0,5
1,3,1,100,5
1,1,5,250,5
1,1,6,0,5
14,2,4,0,5
14,3,4,0,5
14,1,5,0,5
14,3,2,0,5
14,2,6,0,5
14,3,1,0,5
1,2,6,0,5
14,1,3,0,5
1,1,1,0,5
1,1,3,200,5
10,2,1,0,5
10,1,6,0,5
10,1,5,60,5
10,1,4,40,5
10,2,5,40,5
10,2,6,0,5
10,3,4,40,5
10,3,2,20,5
1,1,2,150,5
10,1,1,0,5
10,1,3,20,5
10,2,2,10,5
10,3,6,0,5
10,3,5,30,5
10,3,3,30,5
10,3,1,10,5
1,2,2,150,5
1,1,4,200,5
10,1,2,20,5
13,2,5,0,5
14,1,6,0,5
14,2,2,0,5
9,2,1,0,5
9,1,6,0,5
9,1,4,50,5
9,1,5,70,5
13,2,2,0,5
13,3,6,0,5
13,2,1,0,5
13,2,3,0,5
9,3,4,40,5
13,2,4,0,5
13,2,6,0,5
13,3,1,0,5
13,3,3,0,5
13,3,4,0,5
13,3,2,0,5
13,1,4,20,5
13,1,6,0,5
13,1,5,20,5
13,3,5,0,5
14,2,1,0,5
9,2,3,20,5
9,1,3,20,5
14,1,4,0,5
14,2,3,0,5
14,1,1,0,5
14,2,5,0,5
14,1,2,0,5
14,3,6,0,5
14,3,5,0,5
14,3,3,0,5
9,1,1,0,5
9,2,2,20,5
9,2,5,60,5
9,3,1,15,5
3,2,5,250,5
9,3,3,40,5
9,3,2,30,5
9,3,5,40,5
9,3,6,0,5
9,1,2,20,5
9,2,4,40,5
3,1,2,80,5
8,2,5,80,5
3,1,4,200,5
7,3,6,0,5
7,3,5,60,5
7,2,3,40,5
7,2,4,60,5
7,1,6,0,5
7,2,2,30,5
7,1,1,0,5
6,3,2,50,5
7,1,2,30,5
7,1,4,60,5
7,1,5,100,5
7,2,1,0,5
7,3,3,40,5
7,2,6,0,5
7,2,5,100,5
7,3,2,30,5
7,1,3,40,5
7,3,1,20,5
6,2,3,40,5
6,3,6,0,5
10,2,3,10,5
3,2,1,0,5
6,3,4,60,5
6,2,2,30,5
6,2,1,0,5
6,1,6,0,5
6,1,5,150,5
6,3,5,80,5
6,1,4,80,5
6,2,4,80,5
6,2,6,0,5
6,3,1,30,5
6,3,3,50,5
6,2,5,150,5
6,1,1,0,5
6,1,2,30,5
6,1,3,40,5
7,3,4,40,5
10,2,4,40,5
8,3,1,15,5
4,1,3,80,5
4,1,1,0,5
4,1,5,250,5
4,1,2,60,5
4,3,3,80,5
4,2,2,60,5
4,3,2,60,5
4,1,4,150,5
4,2,6,0,5
4,2,4,150,5
4,3,1,40,5
3,1,5,250,5
3,1,6,0,5
3,2,6,0,5
3,1,1,0,5
8,2,6,0,5
4,2,3,80,5
4,1,6,0,5
4,2,5,250,5
4,3,5,125,5
8,3,3,40,5
4,2,1,0,5
8,3,2,30,5
8,1,5,80,5
8,3,5,40,5
8,1,4,60,5
8,1,2,20,5
8,3,6,0,5
8,1,3,20,5
8,1,1,0,5
4,3,6,0,5
4,3,4,100,5
8,1,6,0,5
8,2,1,0,5
8,2,3,20,5
8,2,4,60,5
8,2,2,20,5
8,3,4,40,5
2,2,5,250,6
2,2,2,100,6
2,3,3,125,6
2,3,5,200,6
2,3,2,100,6
2,2,3,150,6
2,2,4,200,6
2,1,5,250,6
2,1,1,0,6
2,2,1,0,6
2,3,6,0,6
2,1,3,150,6
2,1,6,0,6
1,1,4,200,6
1,2,2,150,6
2,1,2,100,6
1,1,2,150,6
2,1,4,200,6
2,3,1,80,6
3,1,2,80,6
2,3,4,150,6
1,1,3,200,6
3,1,1,0,6
3,2,6,0,6
3,1,6,0,6
3,1,5,250,6
3,2,1,0,6
3,1,4,200,6
3,2,5,250,6
2,2,6,0,6
3,1,3,100,6
3,2,3,100,6
3,3,4,125,6
3,3,6,0,6
3,3,1,60,6
3,3,2,80,6
3,3,3,100,6
3,2,2,80,6
3,3,5,150,6
3,2,4,200,6
1,1,1,0,6
11,1,3,20,6
1,1,6,0,6
11,2,3,0,6
11,2,1,0,6
11,2,2,0,6
11,1,2,20,6
4,1,3,80,6
11,2,5,40,6
11,1,1,0,6
12,3,6,0,6
12,1,3,20,6
12,2,4,0,6
12,2,5,20,6
12,1,6,0,6
12,1,5,40,6
12,1,1,0,6
12,2,1,0,6
12,2,2,0,6
12,3,5,0,6
11,2,4,20,6
11,3,4,20,6
11,3,3,0,6
11,3,1,0,6
1,1,5,250,6
1,3,1,100,6
1,2,1,0,6
1,3,2,125,6
1,3,3,150,6
1,3,4,200,6
1,3,5,250,6
1,3,6,0,6
1,2,6,0,6
1,2,5,250,6
1,2,3,200,6
11,1,5,40,6
11,1,6,0,6
11,1,4,40,6
11,3,5,0,6
11,3,6,0,6
11,3,2,0,6
11,2,6,0,6
1,2,4,200,6
4,1,1,0,6
8,2,1,0,6
4,1,2,60,6
6,2,6,0,6
6,2,4,80,6
6,1,4,80,6
6,3,5,80,6
6,1,5,150,6
6,1,6,0,6
6,2,1,0,6
6,2,2,30,6
6,3,1,30,6
6,3,4,60,6
6,2,3,40,6
6,3,2,50,6
7,3,4,40,6
7,3,1,20,6
7,1,3,40,6
7,3,2,30,6
7,2,5,100,6
7,2,6,0,6
6,3,6,0,6
7,3,3,40,6
6,3,3,50,6
6,1,1,0,6
5,1,1,0,6
5,2,5,200,6
5,1,2,40,6
5,1,3,60,6
5,1,4,100,6
5,1,5,200,6
5,1,6,0,6
5,2,1,0,6
6,2,5,150,6
5,2,2,40,6
5,2,4,100,6
5,3,6,0,6
5,3,5,100,6
5,3,3,60,6
5,3,4,80,6
5,2,6,0,6
