SoilTestPotassiumKelownaRangeId,SoilTestPotassiumRegionCode,PotassiumCropGroupRegionCode,K2ORecommendationKilogramPerHectare,StaticDataVersionId
14,2,2,0,1
14,2,1,0,1
14,1,6,0,1
14,1,3,0,1
14,1,4,0,1
14,2,3,0,1
14,1,5,0,1
14,2,4,0,1
14,3,4,0,1
14,2,6,0,1
14,3,1,0,1
14,3,2,0,1
14,3,3,0,1
14,3,5,0,1
14,3,6,0,1
14,1,2,0,1
14,2,5,0,1
14,1,1,0,1
10,2,2,10,1
13,3,5,0,1
5,2,6,0,1
5,2,5,200,1
5,2,4,100,1
5,2,3,60,1
5,2,2,40,1
5,2,1,0,1
5,1,6,0,1
5,1,5,200,1
5,1,4,100,1
5,1,3,60,1
5,1,2,40,1
5,1,1,0,1
4,3,6,0,1
4,3,5,125,1
4,3,4,100,1
4,3,3,80,1
4,3,2,60,1
4,3,1,40,1
4,2,6,0,1
4,2,5,250,1
4,2,4,150,1
4,2,3,80,1
4,2,2,60,1
4,2,1,0,1
4,1,6,0,1
5,3,1,30,1
5,3,2,50,1
5,3,3,60,1
5,3,4,80,1
13,3,6,0,1
7,1,5,100,1
7,1,4,60,1
7,1,3,40,1
7,1,2,30,1
7,1,1,0,1
6,3,6,0,1
6,3,5,80,1
6,3,4,60,1
6,3,3,50,1
6,3,2,50,1
6,3,1,30,1
4,1,5,250,1
6,2,6,0,1
6,2,4,80,1
6,2,3,40,1
6,2,2,30,1
6,2,1,0,1
6,1,6,0,1
6,1,5,150,1
6,1,4,80,1
6,1,3,40,1
6,1,2,30,1
6,1,1,0,1
5,3,6,0,1
5,3,5,100,1
6,2,5,150,1
7,2,1,0,1
4,1,4,150,1
4,1,2,60,1
2,2,1,0,1
2,1,6,0,1
2,1,5,250,1
2,1,4,200,1
2,1,3,150,1
2,1,2,100,1
2,1,1,0,1
1,3,6,0,1
1,3,5,250,1
1,3,4,200,1
1,3,3,150,1
1,3,2,125,1
1,3,1,100,1
1,2,6,0,1
1,2,5,250,1
1,2,4,200,1
1,2,3,200,1
1,2,2,150,1
1,2,1,0,1
1,1,6,0,1
1,1,5,250,1
1,1,4,200,1
1,1,3,200,1
1,1,2,150,1
1,1,1,0,1
2,2,2,100,1
2,2,3,150,1
2,2,4,200,1
2,2,5,250,1
4,1,1,0,1
3,3,6,0,1
3,3,5,150,1
3,3,4,125,1
3,3,3,100,1
3,3,2,80,1
3,3,1,60,1
3,2,6,0,1
3,2,5,250,1
3,2,4,200,1
3,2,3,100,1
3,2,2,80,1
4,1,3,80,1
3,2,1,0,1
3,1,5,250,1
3,1,4,200,1
3,1,3,100,1
3,1,2,80,1
3,1,1,0,1
2,3,6,0,1
2,3,5,200,1
2,3,4,150,1
2,3,3,125,1
2,3,2,100,1
2,3,1,80,1
2,2,6,0,1
3,1,6,0,1
7,2,2,30,1
7,1,6,0,1
7,2,4,60,1
12,1,4,40,1
12,1,3,20,1
12,1,2,20,1
12,1,1,0,1
11,3,6,0,1
11,3,5,0,1
11,3,4,20,1
11,3,3,0,1
11,3,2,0,1
11,3,1,0,1
11,2,6,0,1
11,2,5,40,1
11,2,4,20,1
11,2,3,0,1
11,2,2,0,1
11,2,1,0,1
11,1,6,0,1
11,1,5,40,1
11,1,4,40,1
11,1,3,20,1
11,1,2,20,1
11,1,1,0,1
10,3,6,0,1
10,3,5,30,1
7,2,3,40,1
12,1,5,40,1
12,1,6,0,1
12,2,1,0,1
12,2,2,0,1
13,3,4,0,1
13,3,3,0,1
13,3,2,0,1
13,3,1,0,1
13,2,6,0,1
13,2,5,0,1
13,2,4,0,1
13,2,3,0,1
13,2,2,0,1
13,2,1,0,1
13,1,6,0,1
13,1,5,20,1
10,3,3,30,1
13,1,4,20,1
13,1,2,10,1
13,1,1,0,1
12,3,6,0,1
12,3,5,0,1
12,3,4,0,1
12,3,3,0,1
12,3,2,0,1
12,3,1,0,1
12,2,6,0,1
12,2,5,20,1
12,2,4,0,1
12,2,3,0,1
