Id,Range,RangeLow,RangeHigh,StaticDataVersionId
10,161-175,161,175,1
14,250+,251,1000,1
9,151-160,151,160,1
13,221-250,221,250,1
12,191-220,191,220,1
11,176-190,176,190,1
1,0-25,0,25,1
2,26-35,26,35,1
3,36-50,36,50,1
4,51-65,51,65,1
8,126-150,126,150,1
7,101-125,101,125,1
6,81-100,81,100,1
5,66-80,66,80,1
5,66-80,66,80,2
7,101-125,101,125,2
8,126-150,126,150,2
4,51-65,51,65,2
3,36-50,36,50,2
2,26-35,26,35,2
6,81-100,81,100,2
11,176-190,176,190,2
12,191-220,191,220,2
13,221-250,221,250,2
9,151-160,151,160,2
14,250+,251,1000,2
10,161-175,161,175,2
1,0-25,0,25,2
1,0-25,0,25,3
14,250+,251,1000,3
9,151-160,151,160,3
13,221-250,221,250,3
12,191-220,191,220,3
11,176-190,176,190,3
10,161-175,161,175,3
2,26-35,26,35,3
3,36-50,36,50,3
4,51-65,51,65,3
8,126-150,126,150,3
7,101-125,101,125,3
5,66-80,66,80,3
6,81-100,81,100,3
6,81-100,81,100,4
7,101-125,101,125,4
8,126-150,126,150,4
4,51-65,51,65,4
3,36-50,36,50,4
2,26-35,26,35,4
5,66-80,66,80,4
11,176-190,176,190,4
12,191-220,191,220,4
13,221-250,221,250,4
9,151-160,151,160,4
14,250+,251,1000,4
1,0-25,0,25,4
10,161-175,161,175,4
10,161-175,161,175,5
14,250+,251,1000,5
9,151-160,151,160,5
13,221-250,221,250,5
12,191-220,191,220,5
11,176-190,176,190,5
1,0-25,0,25,5
2,26-35,26,35,5
3,36-50,36,50,5
4,51-65,51,65,5
8,126-150,126,150,5
7,101-125,101,125,5
6,81-100,81,100,5
5,66-80,66,80,5
5,66-80,66,80,6
7,101-125,101,125,6
8,126-150,126,150,6
4,51-65,51,65,6
3,36-50,36,50,6
2,26-35,26,35,6
6,81-100,81,100,6
11,176-190,176,190,6
12,191-220,191,220,6
13,221-250,221,250,6
9,151-160,151,160,6
14,250+,251,1000,6
10,161-175,161,175,6
1,0-25,0,25,6
10,161-175,161,175,7
14,250+,251,1000,7
9,151-160,151,160,7
13,221-250,221,250,7
12,191-220,191,220,7
11,176-190,176,190,7
1,0-25,0,25,7
2,26-35,26,35,7
3,36-50,36,50,7
4,51-65,51,65,7
8,126-150,126,150,7
7,101-125,101,125,7
6,81-100,81,100,7
5,66-80,66,80,7
5,66-80,66,80,8
7,101-125,101,125,8
8,126-150,126,150,8
4,51-65,51,65,8
3,36-50,36,50,8
2,26-35,26,35,8
6,81-100,81,100,8
11,176-190,176,190,8
12,191-220,191,220,8
13,221-250,221,250,8
9,151-160,151,160,8
14,250+,251,1000,8
10,161-175,161,175,8
1,0-25,0,25,8
1,0-25,0,25,9
14,250+,251,1000,9
9,151-160,151,160,9
13,221-250,221,250,9
12,191-220,191,220,9
11,176-190,176,190,9
10,161-175,161,175,9
2,26-35,26,35,9
3,36-50,36,50,9
4,51-65,51,65,9
8,126-150,126,150,9
7,101-125,101,125,9
5,66-80,66,80,9
6,81-100,81,100,9
6,81-100,81,100,10
7,101-125,101,125,10
8,126-150,126,150,10
4,51-65,51,65,10
3,36-50,36,50,10
2,26-35,26,35,10
5,66-80,66,80,10
11,176-190,176,190,10
12,191-220,191,220,10
13,221-250,221,250,10
9,151-160,151,160,10
14,250+,251,1000,10
1,0-25,0,25,10
10,161-175,161,175,10
14,250+,251,1000,12
12,191-220,191,220,12
11,176-190,176,190,12
10,161-175,161,175,12
9,151-160,151,160,12
8,126-150,126,150,12
13,221-250,221,250,12
6,81-100,81,100,12
5,66-80,66,80,12
4,51-65,51,65,12
3,36-50,36,50,12
2,26-35,26,35,12
1,0-25,0,25,12
7,101-125,101,125,12
1,0-25,0,25,13
2,26-35,26,35,13
3,36-50,36,50,13
4,51-65,51,65,13
5,66-80,66,80,13
6,81-100,81,100,13
7,101-125,101,125,13
8,126-150,126,150,13
9,151-160,151,160,13
10,161-175,161,175,13
11,176-190,176,190,13
12,191-220,191,220,13
13,221-250,221,250,13
14,250+,251,1000,13
1,0-25,0,25,14
2,26-35,26,35,14
3,36-50,36,50,14
4,51-65,51,65,14
5,66-80,66,80,14
6,81-100,81,100,14
7,101-125,101,125,14
8,126-150,126,150,14
9,151-160,151,160,14
10,161-175,161,175,14
11,176-190,176,190,14
12,191-220,191,220,14
13,221-250,221,250,14
14,250+,251,1000,14
