Id,Name,DryLiquid,Nitrogen,Phosphorous,Potassium,SortNum,StaticDataVersionId
28,Ammonium phosphate-sulfate (16-20-0),dry,16,20,0,100,1
29,Calcium nitrate (15.5-0-0-18Ca),dry,15.5,0,0,100,1
30,Sulphur coated urea (40-0-0),dry,40,0,0,100,1
11,Feather meal (12-0-0),dry,12,0,0,300,1
32,"8-24-24",dry,8,24,24,100,1
27,Liquid urea (23-0-0),liquid,23,0,0,100,1
31,"8-18-22",dry,8,18,22,100,1
26,Phosphoric acid (0-54-0),liquid,0,54,0,100,1
8,Blood meal (12-1-1),dry,12,1,1,300,1
24,"20.5-5-0",liquid,20.5,5,0,200,1
1,Urea (46-0-0),dry,46,0,0,10,1
2,"10-16-18",dry,10,16,18,200,1
3,"18-18-18",dry,18,18,18,200,1
4,"18-9-9",dry,18,9,9,200,1
5,"30-10-0-7S",dry,30,10,0,200,1
6,Ammonium nitrate (34-0-0),dry,34,0,0,100,1
7,Ammonium sulphate (21-0-0-24S),dry,21,0,0,100,1
9,Bone meal (3-20-0),dry,3,20,0,300,1
25,"0-0-15-9.7S",liquid,0,0,15,200,1
12,Fish meal (10-6-2),dry,10,6,2,300,1
10,"Diammonium phosphate (DAP, 18-46-0)",dry,18,46,0,100,1
14,"Monoammonium phosphate (MAP, 11-52-0)",dry,11,52,0,100,1
15,Muriate of potash (0-0-62),dry,0,0,62,100,1
16,Sulphate of potash (0-0-50-17S),dry,0,0,50,100,1
17,Anhydrous ammonia (82-0-0),dry,82,0,0,100,1
18,Ammonium polyphosphate (10-34-0),liquid,10,34,0,100,1
19,Urea ammonium nitrate (UAN 32-0-0),liquid,32,0,0,100,1
20,Urea ammonium nitrate (UAN 30-0-0),liquid,30,0,0,100,1
21,Urea ammonium nitrate (UAN 28-0-0),liquid,28,0,0,100,1
22,"3-18-18",liquid,3,18,18,200,1
23,"12-0-0-26S",liquid,12,0,0,200,1
13,Greensand (0-1-6),dry,0,1,6,300,1
15,Muriate of potash (0-0-62),dry,0,0,62,100,2
25,"0-0-15-9.7S",liquid,0,0,15,200,2
12,Fish meal (10-6-2),dry,10,6,2,300,2
10,"Diammonium phosphate (DAP, 18-46-0)",dry,18,46,0,100,2
14,"Monoammonium phosphate (MAP, 11-52-0)",dry,11,52,0,100,2
16,Sulphate of potash (0-0-50-17S),dry,0,0,50,100,2
13,Greensand (0-1-6),dry,0,1,6,300,2
19,Urea ammonium nitrate (UAN 32-0-0),liquid,32,0,0,100,2
20,Urea ammonium nitrate (UAN 30-0-0),liquid,30,0,0,100,2
21,Urea ammonium nitrate (UAN 28-0-0),liquid,28,0,0,100,2
22,"3-18-18",liquid,3,18,18,200,2
23,"12-0-0-26S",liquid,12,0,0,200,2
9,Bone meal (3-20-0),dry,3,20,0,300,2
18,Ammonium polyphosphate (10-34-0),liquid,10,34,0,100,2
7,Ammonium sulphate (21-0-0-24S),dry,21,0,0,100,2
17,Anhydrous ammonia (82-0-0),dry,82,0,0,100,2
5,"30-10-0-7S",dry,30,10,0,200,2
28,Ammonium phosphate-sulfate (16-20-0),dry,16,20,0,100,2
29,Calcium nitrate (15.5-0-0-18Ca),dry,15.5,0,0,100,2
30,Sulphur coated urea (40-0-0),dry,40,0,0,100,2
11,Feather meal (12-0-0),dry,12,0,0,300,2
