Id,FertilizerId,DensityUnitId,Value,StaticDataVersionId
32,26,4,13.15,1
31,26,3,15.8,1
27,25,3,12.80399898,1
29,26,1,5.964739666,1
33,27,1,4.315,1
30,26,2,1.579,1
34,27,2,1.14,1
28,25,4,10.661555,1
36,27,4,9.51,1
37,20,1,4.93,1
38,20,2,1.3,1
39,20,3,13.04,1
40,20,4,10.86,1
26,25,2,1.277536047,1
35,27,3,11.42,1
25,25,1,4.836,1
2,18,2,1.39597788,1
23,24,3,11.79789484,1
24,24,4,9.823798403,1
4,18,4,11.65,1
5,19,1,5.016731612,1
6,19,2,1.325280288,1
7,19,3,13.28251167,1
8,19,4,11.06,1
9,21,1,4.839830588,1
10,21,2,1.278547981,1
11,21,3,12.81414101,1
1,18,1,5.284351111,1
12,21,4,10.67,1
14,22,2,1.422302331,1
15,22,3,14.25490705,1
16,22,4,11.8696882,1
17,23,1,5.007659765,1
18,23,2,1.322883759,1
19,23,3,13.25849267,1
20,23,4,11.04,1
21,24,1,4.456,1
22,24,2,1.177150667,1
13,22,1,5.384,1
3,18,3,13.99107242,1
2,18,2,1.39597788,2
6,19,2,1.325280288,2
5,19,1,5.016731612,2
3,18,3,13.99107242,2
1,18,1,5.284351111,2
4,18,4,11.65,2
24,24,4,9.823798403,2
26,25,2,1.277536047,2
28,25,4,10.661555,2
27,25,3,12.80399898,2
22,24,2,1.177150667,2
21,24,1,4.456,2
7,19,3,13.28251167,2
25,25,1,4.836,2
37,20,1,4.93,2
15,22,3,14.25490705,2
39,20,3,13.04,2
40,20,4,10.86,2
9,21,1,4.839830588,2
10,21,2,1.278547981,2
11,21,3,12.81414101,2
12,21,4,10.67,2
14,22,2,1.422302331,2
16,22,4,11.8696882,2
13,22,1,5.384,2
17,23,1,5.007659765,2
18,23,2,1.322883759,2
19,23,3,13.25849267,2
20,23,4,11.04,2
23,24,3,11.79789484,2
38,20,2,1.3,2
30,26,2,1.579,2
8,19,4,11.06,2
31,26,3,15.8,2
33,27,1,4.315,2
34,27,2,1.14,2
29,26,1,5.964739666,2
35,27,3,11.42,2
32,26,4,13.15,2
36,27,4,9.51,2
18,23,2,1.322883759,3
17,23,1,5.007659765,3
13,22,1,5.384,3
16,22,4,11.8696882,3
14,22,2,1.422302331,3
15,22,3,14.25490705,3
39,20,3,13.04,3
11,21,3,12.81414101,3
10,21,2,1.278547981,3
9,21,1,4.839830588,3
38,20,2,1.3,3
40,20,4,10.86,3
19,23,3,13.25849267,3
12,21,4,10.67,3
2,18,2,1.39597788,3
30,26,2,1.579,3
1,18,1,5.284351111,3
4,18,4,11.65,3
33,27,1,4.315,3
34,27,2,1.14,3
35,27,3,11.42,3
36,27,4,9.51,3
31,26,3,15.8,3
29,26,1,5.964739666,3
32,26,4,13.15,3
24,24,4,9.823798403,3
22,24,2,1.177150667,3
21,24,1,4.456,3
23,24,3,11.79789484,3
37,20,1,4.93,3
3,18,3,13.99107242,3
8,19,4,11.06,3
20,23,4,11.04,3
5,19,1,5.016731612,3
26,25,2,1.277536047,3
28,25,4,10.661555,3
7,19,3,13.28251167,3
25,25,1,4.836,3
6,19,2,1.325280288,3
27,25,3,12.80399898,3
8,19,4,11.06,4
38,20,2,1.3,4
39,20,3,13.04,4
6,19,2,1.325280288,4
7,19,3,13.28251167,4
5,19,1,5.016731612,4
31,26,3,15.8,4
25,25,1,4.836,4
28,25,4,10.661555,4
26,25,2,1.277536047,4
32,26,4,13.15,4
29,26,1,5.964739666,4
40,20,4,10.86,4
27,25,3,12.80399898,4
11,21,3,12.81414101,4
17,23,1,5.007659765,4
9,21,1,4.839830588,4
12,21,4,10.67,4
13,22,1,5.384,4
16,22,4,11.8696882,4
14,22,2,1.422302331,4
15,22,3,14.25490705,4
18,23,2,1.322883759,4
19,23,3,13.25849267,4
20,23,4,11.04,4
2,18,2,1.39597788,4
1,18,1,5.284351111,4
4,18,4,11.65,4
3,18,3,13.99107242,4
30,26,2,1.579,4
10,21,2,1.278547981,4
23,24,3,11.79789484,4
37,20,1,4.93,4
22,24,2,1.177150667,4
33,27,1,4.315,4
34,27,2,1.14,4
21,24,1,4.456,4
36,27,4,9.51,4
24,24,4,9.823798403,4
35,27,3,11.42,4
18,23,2,1.322883759,5
17,23,1,5.007659765,5
15,22,3,14.25490705,5
14,22,2,1.422302331,5
16,22,4,11.8696882,5
13,22,1,5.384,5
9,21,1,4.839830588,5
12,21,4,10.67,5
11,21,3,12.81414101,5
37,20,1,4.93,5
40,20,4,10.86,5
19,23,3,13.25849267,5
39,20,3,13.04,5
10,21,2,1.278547981,5
20,23,4,11.04,5
22,24,2,1.177150667,5
6,19,2,1.325280288,5
7,19,3,13.28251167,5
33,27,1,4.315,5
34,27,2,1.14,5
36,27,4,9.51,5
35,27,3,11.42,5
23,24,3,11.79789484,5
21,24,1,4.456,5
24,24,4,9.823798403,5
31,26,3,15.8,5
32,26,4,13.15,5
29,26,1,5.964739666,5
30,26,2,1.579,5
38,20,2,1.3,5
8,19,4,11.06,5
3,18,3,13.99107242,5
5,19,1,5.016731612,5
1,18,1,5.284351111,5
2,18,2,1.39597788,5
27,25,3,12.80399898,5
26,25,2,1.277536047,5
28,25,4,10.661555,5
25,25,1,4.836,5
4,18,4,11.65,5
1,18,1,5.284351111,6
2,18,2,1.39597788,6
9,21,1,4.839830588,6
12,21,4,10.67,6
4,18,4,11.65,6
3,18,3,13.99107242,6
35,27,3,11.42,6
28,25,4,10.661555,6
26,25,2,1.277536047,6
27,25,3,12.80399898,6
36,27,4,9.51,6
11,21,3,12.81414101,6
34,27,2,1.14,6
25,25,1,4.836,6
10,21,2,1.278547981,6
5,19,1,5.016731612,6
14,22,2,1.422302331,6
13,22,1,5.384,6
18,23,2,1.322883759,6
17,23,1,5.007659765,6
19,23,3,13.25849267,6
20,23,4,11.04,6
6,19,2,1.325280288,6
7,19,3,13.28251167,6
8,19,4,11.06,6
37,20,1,4.93,6
40,20,4,10.86,6
39,20,3,13.04,6
38,20,2,1.3,6
33,27,1,4.315,6
15,22,3,14.25490705,6
24,24,4,9.823798403,6
16,22,4,11.8696882,6
23,24,3,11.79789484,6
22,24,2,1.177150667,6
30,26,2,1.579,6
29,26,1,5.964739666,6
32,26,4,13.15,6
31,26,3,15.8,6
21,24,1,4.456,6
18,23,2,1.322883759,7
17,23,1,5.007659765,7
15,22,3,14.25490705,7
14,22,2,1.422302331,7
16,22,4,11.8696882,7
13,22,1,5.384,7
9,21,1,4.839830588,7
12,21,4,10.67,7
11,21,3,12.81414101,7
37,20,1,4.93,7
40,20,4,10.86,7
19,23,3,13.25849267,7
39,20,3,13.04,7
10,21,2,1.278547981,7
20,23,4,11.04,7
22,24,2,1.177150667,7
6,19,2,1.325280288,7
7,19,3,13.28251167,7
33,27,1,4.315,7
34,27,2,1.14,7
36,27,4,9.51,7
35,27,3,11.42,7
23,24,3,11.79789484,7
21,24,1,4.456,7
24,24,4,9.823798403,7
31,26,3,15.8,7
32,26,4,13.15,7
29,26,1,5.964739666,7
30,26,2,1.579,7
38,20,2,1.3,7
8,19,4,11.06,7
3,18,3,13.99107242,7
5,19,1,5.016731612,7
1,18,1,5.284351111,7
2,18,2,1.39597788,7
27,25,3,12.80399898,7
26,25,2,1.277536047,7
28,25,4,10.661555,7
25,25,1,4.836,7
4,18,4,11.65,7
20,23,4,11.04,8
19,23,3,13.25849267,8
17,23,1,5.007659765,8
18,23,2,1.322883759,8
13,22,1,5.384,8
16,22,4,11.8696882,8
14,22,2,1.422302331,8
15,22,3,14.25490705,8
10,21,2,1.278547981,8
11,21,3,12.81414101,8
12,21,4,10.67,8
9,21,1,4.839830588,8
4,18,4,11.65,8
2,18,2,1.39597788,8
1,18,1,5.284351111,8
3,18,3,13.99107242,8
28,25,4,10.661555,8
26,25,2,1.277536047,8
35,27,3,11.42,8
36,27,4,9.51,8
34,27,2,1.14,8
33,27,1,4.315,8
24,24,4,9.823798403,8
21,24,1,4.456,8
23,24,3,11.79789484,8
22,24,2,1.177150667,8
30,26,2,1.579,8
29,26,1,5.964739666,8
32,26,4,13.15,8
31,26,3,15.8,8
25,25,1,4.836,8
6,19,2,1.325280288,8
27,25,3,12.80399898,8
8,19,4,11.06,8
5,19,1,5.016731612,8
37,20,1,4.93,8
40,20,4,10.86,8
39,20,3,13.04,8
38,20,2,1.3,8
7,19,3,13.28251167,8
19,23,3,13.25849267,9
20,23,4,11.04,9
7,19,3,13.28251167,9
5,19,1,5.016731612,9
8,19,4,11.06,9
6,19,2,1.325280288,9
37,20,1,4.93,9
39,20,3,13.04,9
40,20,4,10.86,9
33,27,1,4.315,9
34,27,2,1.14,9
17,23,1,5.007659765,9
36,27,4,9.51,9
38,20,2,1.3,9
18,23,2,1.322883759,9
2,18,2,1.39597788,9
16,22,4,11.8696882,9
14,22,2,1.422302331,9
10,21,2,1.278547981,9
11,21,3,12.81414101,9
12,21,4,10.67,9
9,21,1,4.839830588,9
4,18,4,11.65,9
1,18,1,5.284351111,9
3,18,3,13.99107242,9
28,25,4,10.661555,9
26,25,2,1.277536047,9
25,25,1,4.836,9
27,25,3,12.80399898,9
35,27,3,11.42,9
13,22,1,5.384,9
31,26,3,15.8,9
15,22,3,14.25490705,9
29,26,1,5.964739666,9
30,26,2,1.579,9
22,24,2,1.177150667,9
23,24,3,11.79789484,9
21,24,1,4.456,9
24,24,4,9.823798403,9
32,26,4,13.15,9
2,18,2,1.39597788,10
6,19,2,1.325280288,10
8,19,4,11.06,10
5,19,1,5.016731612,10
7,19,3,13.28251167,10
4,18,4,11.65,10
