CropId,LocationId,Amount,StaticDataVersionId
7,2,5,1
7,1,5,1
67,1,1.6,1
9,2,7,1
8,2,6,1
2,1,4,1
2,2,4,1
9,1,7,1
70,2,1.54,1
68,2,1.6,1
68,1,1.6,1
3,2,5,1
69,1,1.54,1
69,2,1.54,1
3,1,5,1
4,1,7,1
4,2,8,1
71,2,0.875,1
71,1,0.875,1
8,1,6,1
67,2,1.6,1
70,1,1.54,1
46,1,15,1
65,1,6.2,1
24,2,1.92,1
25,1,1.92,1
25,2,1.92,1
26,1,0.5,1
26,2,0.58,1
27,1,4,1
27,2,4,1
28,1,2.9,1
28,2,2.9,1
30,1,9.9,1
30,2,11.4,1
31,1,2.7,1
31,2,2.7,1
32,1,5.2,1
32,2,5.2,1
33,1,13,1
33,2,13,1
34,1,5.9,1
34,2,5.9,1
65,2,6.2,1
35,2,14.4,1
24,1,1.92,1
36,1,4.4,1
23,2,1.2,1
22,2,1.2,1
1,1,2.5,1
1,2,2.5,1
5,1,4,1
5,2,4,1
6,1,4.5,1
6,2,4.5,1
10,1,1,1
10,2,1.7,1
11,1,1,1
11,2,2.2,1
12,1,1,1
12,2,2.2,1
13,1,1,1
13,2,1.7,1
14,1,1,1
14,2,2.2,1
15,1,1,1
15,2,2,1
16,1,1,1
16,2,2.2,1
22,1,1.2,1
23,1,1.2,1
36,2,4.4,1
35,1,14.4,1
37,2,26.7,1
53,1,8.5,1
53,2,8.5,1
54,1,15,1
54,2,15,1
55,1,20,1
55,2,20,1
56,1,25,1
56,2,25,1
57,1,15.1,1
57,2,15.1,1
58,1,6.6,1
52,2,2.3,1
58,2,6.6,1
59,2,,1
60,1,7.5,1
60,2,7.5,1
61,1,14,1
61,2,14,1
62,1,5.6,1
62,2,5.6,1
63,1,14,1
63,2,14,1
64,1,9.5,1
64,2,9.5,1
59,1,,1
37,1,26.7,1
52,1,2.3,1
49,1,15.6,1
39,1,6.7,1
39,2,7.3,1
40,1,5.1,1
40,2,6.4,1
43,1,4.7,1
43,2,4.7,1
45,1,11.5,1
45,2,11.5,1
49,2,15.6,1
72,2,7,1
46,2,12.1,1
48,1,,1
48,2,,1
72,1,7,1
59,2,,2
62,2,5.6,2
61,2,14,2
68,1,1.6,2
71,1,0.875,2
58,2,6.6,2
71,2,0.875,2
60,2,7.5,2
67,1,1.6,2
62,1,5.6,2
64,1,9.5,2
67,2,1.6,2
63,1,14,2
59,1,,2
60,1,7.5,2
