CropId,SoilTestPotassiumRegionCode,PotassiumCropGroupRegionCode,StaticDataVersionId
54,3,5,1
1,2,4,1
1,1,4,1
67,2,2,1
9,2,3,1
64,3,5,1
9,3,2,1
55,1,5,1
55,2,5,1
55,3,5,1
11,3,6,1
64,2,5,1
11,2,6,1
67,3,2,1
54,2,5,1
68,1,2,1
12,1,6,1
52,1,4,1
67,1,2,1
65,3,5,1
52,2,4,1
52,3,4,1
70,3,2,1
65,2,5,1
70,2,2,1
65,1,5,1
53,1,5,1
53,2,5,1
53,3,5,1
70,1,2,1
9,1,3,1
12,3,6,1
11,1,6,1
12,2,6,1
54,1,5,1
56,1,5,1
69,3,2,1
1,3,3,1
59,3,5,1
5,2,3,1
62,3,4,1
62,2,4,1
62,1,4,1
6,3,2,1
6,2,3,1
60,1,5,1
59,2,5,1
60,2,5,1
68,3,2,1
68,2,2,1
6,1,3,1
5,3,2,1
61,1,5,1
61,2,5,1
61,3,5,1
72,1,4,1
60,3,5,1
64,1,5,1
59,1,5,1
13,1,6,1
56,2,5,1
56,3,5,1
69,2,2,1
72,3,3,1
72,2,4,1
63,3,5,1
57,1,5,1
63,2,5,1
5,1,3,1
57,2,5,1
69,1,2,1
10,3,6,1
10,2,6,1
63,1,5,1
58,1,5,1
58,2,5,1
58,3,5,1
10,1,6,1
57,3,5,1
13,2,6,1
48,2,5,1
22,1,2,1
32,2,5,1
32,3,5,1
33,1,5,1
33,2,5,1
33,3,5,1
4,3,4,1
4,2,4,1
23,3,2,1
23,2,2,1
34,1,5,1
34,2,5,1
34,3,5,1
4,1,4,1
23,1,2,1
35,1,5,1
35,2,5,1
35,3,5,1
22,3,2,1
22,2,2,1
36,1,5,1
36,2,5,1
32,1,5,1
24,1,2,1
24,2,2,1
24,3,2,1
26,1,5,1
27,1,5,1
27,2,5,1
27,3,5,1
3,1,4,1
28,1,4,1
28,2,4,1
28,3,4,1
7,3,2,1
7,2,3,1
36,3,5,1
25,3,2,1
25,1,2,1
30,1,5,1
30,2,5,1
30,3,5,1
7,1,3,1
3,2,4,1
31,1,5,1
31,2,5,1
31,3,5,1
3,3,3,1
25,2,2,1
37,1,5,1
26,2,5,1
43,1,5,1
48,1,5,1
8,3,2,1
15,3,6,1
14,1,6,1
14,2,6,1
14,3,6,1
15,2,6,1
37,2,5,1
43,2,5,1
43,3,5,1
71,1,3,1
46,3,4,1
15,1,6,1
45,1,4,1
45,2,4,1
45,3,4,1
71,3,2,1
71,2,3,1
46,2,4,1
26,3,5,1
46,1,4,1
8,2,3,1
40,3,5,1
49,3,5,1
49,2,5,1
49,1,5,1
37,3,5,1
2,3,3,1
13,3,6,1
2,2,4,1
8,1,3,1
16,3,6,1
39,1,4,1
39,2,4,1
39,3,5,1
2,1,4,1
16,2,6,1
16,1,6,1
40,1,5,1
40,2,5,1
48,3,5,1
62,1,4,2
49,3,5,2
56,3,5,2
62,3,4,2
62,2,4,2
58,1,5,2
49,2,5,2
60,3,5,2
36,3,5,2
36,2,5,2
36,1,5,2
48,2,5,2
48,3,5,2
49,1,5,2
48,1,5,2
60,1,5,2
57,3,5,2
52,1,4,2
35,1,5,2
60,2,5,2
57,1,5,2
35,2,5,2
57,2,5,2
35,3,5,2
52,2,4,2
61,1,5,2
56,2,5,2
54,1,5,2
54,2,5,2
40,1,5,2
40,2,5,2
61,3,5,2
54,3,5,2
45,2,4,2
45,1,4,2
53,2,5,2
43,1,5,2
43,2,5,2
53,3,5,2
43,3,5,2
61,2,5,2
53,1,5,2
45,3,4,2
40,3,5,2
59,1,5,2
56,1,5,2
46,2,4,2
37,1,5,2
37,2,5,2
46,3,4,2
52,3,4,2
37,3,5,2
59,3,5,2
59,2,5,2
55,3,5,2
55,2,5,2
39,1,4,2
39,2,4,2
39,3,5,2
55,1,5,2
46,1,4,2
34,3,5,2
27,1,5,2
34,1,5,2
1,1,4,2
1,3,3,2
5,2,3,2
5,3,2,2
5,1,3,2
6,3,2,2
6,2,3,2
6,1,3,2
68,2,2,2
10,3,6,2
10,2,6,2
10,1,6,2
1,2,4,2
68,3,2,2
11,3,6,2
11,2,6,2
11,1,6,2
12,1,6,2
12,3,6,2
12,2,6,2
13,1,6,2
13,2,6,2
