"id","cropid","soiltestpotassiumregioncode","potassiumcropgroupregioncode"
2155,1,1,4
2156,1,2,4
2157,1,3,3
2158,2,1,4
2159,2,2,4
2160,2,3,3
2161,3,1,4
2162,3,2,4
2163,3,3,3
2164,4,1,4
2165,4,2,4
2166,4,3,4
2167,5,1,3
2168,5,2,3
2169,5,3,2
2170,6,1,3
2171,6,2,3
2172,6,3,2
2173,7,1,3
2174,7,2,3
2175,7,3,2
2176,8,1,3
2177,8,2,3
2178,8,3,2
2179,9,1,3
2180,9,2,3
2181,9,3,2
2182,10,1,6
2183,10,2,6
2184,10,3,6
2185,11,1,6
2186,11,2,6
2187,11,3,6
2188,12,1,6
2189,12,2,6
2190,12,3,6
2191,13,1,6
2192,13,2,6
2193,13,3,6
2194,14,1,6
2195,14,2,6
2196,14,3,6
2197,15,1,6
2198,15,2,6
2199,15,3,6
2200,16,1,6
2201,16,2,6
2202,16,3,6
2203,22,1,2
2204,22,2,2
2205,22,3,2
2206,23,1,2
2207,23,2,2
2208,23,3,2
2209,24,1,2
2210,24,2,2
2211,24,3,2
2212,25,1,2
2213,25,2,2
2214,25,3,2
2215,26,1,5
2216,26,2,5
2217,26,3,5
2218,27,1,5
2219,27,2,5
2220,27,3,5
2221,28,1,4
2222,28,2,4
2223,28,3,4
2224,30,1,5
2225,30,2,5
2226,30,3,5
2227,31,1,5
2228,31,2,5
2229,31,3,5
2230,32,1,5
2231,32,2,5
2232,32,3,5
2233,33,1,5
2234,33,2,5
2235,33,3,5
2236,34,1,5
2237,34,2,5
2238,34,3,5
2239,35,1,5
2240,35,2,5
2241,35,3,5
2242,36,1,5
2243,36,2,5
2244,36,3,5
2245,37,1,5
2246,37,2,5
2247,37,3,5
2248,39,1,4
2249,39,2,4
2250,39,3,5
2251,40,1,5
2252,40,2,5
2253,40,3,5
2254,43,1,5
2255,43,2,5
2256,43,3,5
2257,45,1,4
2258,45,2,4
2259,45,3,4
2260,46,1,4
2261,46,2,4
2262,46,3,4
2263,48,1,5
2264,48,2,5
2265,48,3,5
2266,49,1,5
2267,49,2,5
2268,49,3,5
2269,52,1,4
2270,52,2,4
2271,52,3,4
2272,53,1,5
2273,53,2,5
2274,53,3,5
2275,54,1,5
2276,54,2,5
2277,54,3,5
2278,55,1,5
2279,55,2,5
2280,55,3,5
2281,56,1,5
2282,56,2,5
2283,56,3,5
2284,57,1,5
2285,57,2,5
2286,57,3,5
2287,58,1,5
2288,58,2,5
2289,58,3,5
2290,59,1,5
2291,59,2,5
2292,59,3,5
2293,60,1,5
2294,60,2,5
2295,60,3,5
2296,61,1,5
2297,61,2,5
2298,61,3,5
2299,62,1,4
2300,62,2,4
2301,62,3,4
2302,63,1,5
2303,63,2,5
2304,63,3,5
2305,64,1,5
2306,64,2,5
2307,64,3,5
2308,65,1,5
2309,65,2,5
2310,65,3,5
2311,67,1,2
2312,67,2,2
2313,67,3,2
2314,68,1,2
2315,68,2,2
2316,68,3,2
2317,69,1,2
2318,69,2,2
2319,69,3,2
2320,70,1,2
2321,70,2,2
2322,70,3,2
2323,71,1,3
2324,71,2,3
2325,71,3,2
2326,72,1,4
2327,72,2,4
2328,72,3,3
2329,73,1,4
2330,73,2,5
2331,73,3,5
2332,74,1,4
2333,74,2,5
2334,74,3,5
